date,bitcoin,BTC,bitcoinyear,BTCyear,adj,gtrends
2016-02-05,69,27,,,0.0273972602739726,1.8904109589041096
2016-02-06,72,27,,,0.0273972602739726,1.9726027397260273
2016-02-07,73,23,2.0,1.0,0.0273972602739726,2.0
2016-02-08,72,25,,,0.0273972602739726,1.9726027397260273
2016-02-09,79,33,,,0.0273972602739726,2.1643835616438354
2016-02-10,79,29,,,0.0273972602739726,2.1643835616438354
2016-02-11,77,29,,,0.0273972602739726,2.1095890410958904
2016-02-12,78,26,,,0.0273972602739726,2.1369863013698627
2016-02-13,73,23,,,0.0273972602739726,2.0
2016-02-14,76,25,3.0,1.0,0.039473684210526314,3.0
2016-02-15,82,29,,,0.039473684210526314,3.2368421052631575
2016-02-16,81,30,,,0.039473684210526314,3.1973684210526314
2016-02-17,88,28,,,0.039473684210526314,3.4736842105263155
2016-02-18,100,28,,,0.039473684210526314,3.9473684210526314
2016-02-19,80,30,,,0.039473684210526314,3.1578947368421053
2016-02-20,84,30,,,0.039473684210526314,3.31578947368421
2016-02-21,82,30,2.0,1.0,0.024390243902439025,2.0
2016-02-22,89,29,,,0.024390243902439025,2.1707317073170733
2016-02-23,79,30,,,0.024390243902439025,1.926829268292683
2016-02-24,82,27,,,0.024390243902439025,2.0
2016-02-25,77,32,,,0.024390243902439025,1.878048780487805
2016-02-26,75,32,,,0.024390243902439025,1.829268292682927
2016-02-27,78,28,,,0.024390243902439025,1.902439024390244
2016-02-28,76,23,2.0,1.0,0.02631578947368421,2.0
2016-02-29,72,28,,,0.02631578947368421,1.894736842105263
2016-02-29,87,37,,,0.02631578947368421,2.289473684210526
2016-03-01,100,32,,,0.02631578947368421,2.631578947368421
2016-03-02,88,30,,,0.02631578947368421,2.3157894736842106
2016-03-03,94,34,,,0.02631578947368421,2.4736842105263155
2016-03-04,91,29,,,0.02631578947368421,2.394736842105263
2016-03-05,94,35,,,0.02631578947368421,2.4736842105263155
2016-03-06,85,31,2.0,1.0,0.023529411764705882,2.0
2016-03-07,92,34,,,0.023529411764705882,2.164705882352941
2016-03-08,94,33,,,0.023529411764705882,2.211764705882353
2016-03-09,88,31,,,0.023529411764705882,2.0705882352941174
2016-03-10,80,33,,,0.023529411764705882,1.8823529411764706
2016-03-11,81,32,,,0.023529411764705882,1.9058823529411764
2016-03-12,78,30,,,0.023529411764705882,1.8352941176470587
2016-03-13,80,31,2.0,1.0,0.025,2.0
